Starting to collect Vector measurements
Timer: Vector measurements completed in 637.384 (seconds)

Starting to collect Doubly Linked List measurements
Timer: Doubly Linked List measurements completed in 293.792 (seconds)

Starting to collect Singly Linked List measurements
Timer: Singly Linked List measurements completed in 479.082 (seconds)

Starting to collect Binary Search Tree measurements
Timer: Binary Search Tree measurements completed in 0.535571 (seconds)

Starting to collect Hash Table measurements
Timer: Hash Table measurements completed in 0.293831 (seconds)
Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
30750	57	3	0	0	0	0	0	407278	0	0	0	78043	1	90944	0	405215	8	249893	0	214568	402811
31000	121	24	0	0	0	0	29	412453	0	0	0	77830	1	71638	8	417889	7	251553	24	222489	404677
31250	49	6	0	0	0	0	0	417998	10	0	0	84747	0	71690	0	410302	7	264843	29	221041	410557
31500	48	23	0	9	0	0	0	415105	0	0	0	76934	0	75064	0	422831	6	261122	0	222406	410766
31750	98	9	13	0	1	0	0	423775	0	18	0	77256	1	73636	0	419376	7	258667	0	227313	412074
32000	52	50	39	0	0	0	0	428541	0	0	0	77676	0	81222	0	424839	10	260835	0	225178	412560
32250	81	7	0	0	0	0	0	429674	29	0	0	83187	0	75916	0	432325	26	263900	0	231895	420903
32500	57	8	0	0	1	0	0	429302	0	0	0	79401	0	77002	0	430471	6	269359	0	231765	424781
32750	65	4	0	0	10	0	0	435340	0	0	0	79921	0	78361	0	443626	1341	267114	0	235941	428490
33000	58	9	9	0	1	0	0	438563	10	0	0	80814	10	78650	0	433906	6	268144	0	233185	426376
33250	51	12	0	0	2	0	0	440187	0	0	0	82993	21	80459	0	443224	8	274511	0	236816	434603
33500	58	3	0	0	0	0	0	447744	0	0	0	81577	0	87931	0	445127	6	276275	0	238378	434746
33750	54	9	0	0	0	0	0	445911	0	0	0	86683	3	87668	0	449761	7	273987	0	244337	438109
34000	43	7	0	0	0	0	0	453795	0	33	0	86310	0	90486	0	452381	18	277481	0	241032	442463
34250	43	14	0	9	0	0	0	459126	0	0	0	92541	0	79955	0	453225	7	284813	0	244807	447596
34500	103	9	9	0	0	0	0	463804	0	0	0	87581	38	84869	0	460890	6	281864	0	246648	450125
34750	49	8	0	0	0	0	18	569389	2	0	0	88371	0	81324	0	462015	8	282961	0	251378	451002
35000	44	8	0	0	0	0	0	467057	0	0	0	102178	0	82256	0	473624	7	287713	0	251349	462193
35250	47	42	0	0	9	0	0	467250	1	19	0	89575	10	83000	0	465121	8	294140	0	257507	462808
35500	66	81	0	0	0	0	0	477841	0	0	0	88541	2	83829	0	475424	8	290528	0	255866	464933
35750	46	82	0	0	1	0	0	474444	0	0	0	89939	2	89948	0	471958	6	291807	0	260577	465650
36000	47	30	0	0	0	0	0	481780	0	0	0	90269	1	91133	0	482177	6	298508	8	261616	469803
36250	46	45	0	0	1	0	0	487033	0	0	0	90250	1	91982	0	477672	8	295398	0	261168	475921
36500	93	6	0	0	1	0	0	486269	11	9	0	93465	0	97655	14	598644	6	300059	0	263296	476743
36750	50	2	0	9	1	0	0	490043	0	0	0	91675	0	115632	0	485276	41	305147	0	269276	490652
37000	50	7	0	39	0	0	0	491089	0	0	8	99546	1	88160	0	497706	7	306181	0	272692	481610
37250	80	19	0	0	0	0	0	501998	0	0	0	96934	0	92366	0	489881	7	304411	0	270705	483633
37500	59	6	0	0	0	0	0	501631	0	0	0	96494	2	90670	0	502335	6	308461	0	273670	495647
37750	79	2	0	0	0	0	0	502525	0	0	0	104138	0	91961	0	498566	9	312573	0	275957	493838
38000	68	7	0	0	0	0	0	505429	1	0	0	102650	0	91515	0	508465	7	310120	0	275499	492552
38250	100	15	0	0	1	0	0	513414	28	0	0	98024	1	93048	9	503585	6	313114	0	279255	498683
38500	55	9	0	0	0	0	0	513461	0	0	0	98020	1	100068	0	513045	8	319967	0	283682	504387
38750	53	5	0	0	1	0	0	520150	1	12	0	100039	0	97786	0	511965	6	323053	0	283432	506955
39000	69	5	9	0	0	0	0	525093	1	0	0	105055	0	106789	0	528184	8	319795	0	290960	508106
39250	65	10	0	0	20	0	0	526258	0	0	0	103632	5	111836	0	518351	6	326257	0	287612	515414
39500	76	7	0	0	0	0	0	528166	1	0	0	102449	0	98184	0	526935	7	324234	0	297793	514394
39750	53	7	50	0	0	0	0	528484	13	0	0	100690	1	103802	0	527209	8	325618	0	290178	516574
40000	86	14	0	0	0	0	0	535337	1	0	0	101386	0	98728	0	533158	6	332248	0	293836	521507
40250	52	11	0	0	0	0	0	538621	0	0	0	114745	1	109954	0	531645	9	333941	0	299295	527530
40500	46	36	0	0	10	0	0	541805	0	0	0	105482	1	106258	0	542642	7	331604	0	301433	535377
40750	56	7	0	0	0	0	0	540915	2	0	0	105120	0	106488	0	537771	7	338128	0	299232	530137
41000	57	8	0	0	0	0	0	552254	1	14	0	113272	0	107481	0	545129	6	334157	0	302258	536183
41250	56	8	0	0	1	0	0	554103	1	0	0	108315	0	119237	0	553504	7	338484	0	308184	539273
41500	46	15	0	0	0	0	0	558260	0	0	0	118392	1	108695	0	548290	7	358792	0	306370	539867
41750	61	10	0	0	0	0	8	556912	0	0	0	115136	1	117019	0	556809	6	350745	0	316850	540976
42000	62	10	0	0	0	0	0	563977	0	0	0	112504	2	106714	0	552797	8	345743	0	326259	551101
42250	56	17	0	24	0	0	0	566266	1	0	0	113775	0	110966	0	568742	16	351152	0	329934	561764
42500	50	35	0	0	1	0	0	565300	0	0	0	135623	1	107566	0	562724	6	346345	0	328664	554649
42750	69	12	9	0	0	0	0	574359	0	0	0	114194	10	109361	0	569794	10	352197	0	324283	555847
43000	59	16	0	0	9	0	0	576922	1	0	0	111894	0	110257	0	574001	6	365872	0	324435	564766
43250	78	14	0	0	0	0	0	581188	0	13	0	113580	2	111948	0	572988	7	352955	0	320109	565357
43500	88	34	18	0	0	0	0	580714	0	0	0	119600	1	118325	0	579590	7	356995	0	323713	573412
43750	142	16	0	0	1	0	0	598916	0	0	0	117416	0	127200	0	577287	7	362769	0	326275	572746
44000	90	41	0	0	0	0	0	590809	1	0	0	123010	0	117778	0	595806	6	361494	0	327489	575595
44250	102	15	9	0	1	0	0	593115	1	1	0	118424	1	122767	0	588565	7	370540	0	333391	576947
44500	115	74	0	0	0	0	0	597371	10	0	0	142313	0	118525	0	599205	7	368731	0	330147	578187
44750	105	16	0	0	1	0	0	596678	3	0	0	120046	1	115411	0	601506	7	366695	0	333716	584265
45000	101	12	0	9	1	0	0	605798	2	0	0	120075	1	118076	0	595901	8	373569	0	339872	585725
45250	163	17	0	0	1	0	0	608226	1	11	0	120226	2	121161	0	610998	8	370611	0	338654	586814
45500	92	34	0	0	8	0	0	602994	21	18	0	127005	10	121282	0	602074	8	374515	0	340744	600598
45750	81	10	0	0	2	0	0	629272	2	0	0	124838	2	122089	9	616118	6	385935	0	343904	609974
46000	105	20	0	0	1	0	0	615083	1	0	0	124096	0	137751	0	613205	6	376503	0	343905	603874
46250	93	15	18	0	0	0	0	617232	1	0	0	121668	0	127433	0	615307	8	384885	0	346954	606355
46500	118	22	0	0	0	11	0	622739	3	0	0	127396	0	124201	0	631150	6	378416	0	354673	605391
46750	124	66	0	0	1	0	0	624510	2	0	0	132271	0	123751	0	620914	25	383535	0	356976	611088
47000	90	43	0	0	1	0	0	634781	2	0	0	128199	1	128183	0	626811	30	390690	0	354054	607312
47250	80	20	0	0	0	0	0	632428	2	12	0	128077	1	126771	0	638743	7	386084	0	357258	619148
47500	76	37	0	0	0	0	0	631361	1	0	0	133580	1	135923	0	633420	53	390661	0	356629	617490
47750	166	15	0	0	1	0	0	642003	3	0	0	131391	0	143665	0	637719	9	392132	0	359516	618195
48000	77	54	0	0	2	0	0	643710	0	0	0	135264	49	136031	0	646335	7	393979	0	365184	633603
48250	73	13	0	0	2	0	0	651246	0	0	0	130216	1	136428	0	640069	6	401542	0	364207	626372
48500	178	39	0	0	0	0	13	650267	2	0	0	166321	1	133461	0	650526	8	398224	0	371141	633215
48750	84	15	8	0	1	0	9	651868	2	0	0	133148	0	133879	0	655236	6	404563	0	367048	637504
49000	81	15	0	0	1	13	0	658189	2	0	0	132967	0	134332	0	660118	6	406831	0	372828	638582
49250	120	16	0	0	24	0	0	666698	12	1	0	138371	16	135901	0	657413	8	404710	0	369992	641916
49500	97	45	31	0	0	0	0	668687	6	0	0	139639	1	138786	0	670857	6	413625	0	377288	653119
49750	76	18	0	0	1	0	0	675763	2	0	0	138407	1	150810	0	662342	7	407900	0	375181	649409
50000	168	19	0	0	0	0	0	671508	3	0	0	140479	2	144033	0	685278	9	420261	0	379008	667641
50250	102	20	0	0	0	0	0	669760	16	0	0	149159	17	145639	0	678711	16	414888	0	379681	657041
50500	94	32	0	0	9	0	0	680827	2	0	0	142259	0	141237	0	682214	7	416331	0	382525	662800
50750	81	18	0	0	2	0	0	682345	3	0	0	142600	1	141714	0	677556	6	423100	0	384493	659927
51000	106	25	0	0	0	0	0	681115	2	0	0	143931	0	143774	0	708950	7	417806	0	387902	668444
51250	83	18	0	0	1	0	0	684221	20	0	0	145707	1	150120	0	684398	7	432526	0	388897	668933
51500	75	33	10	0	0	0	0	690653	4	14	0	150241	0	162614	0	694550	30	427415	0	391504	671828
51750	103	16	0	18	226	0	0	694104	2	1	0	146290	0	154366	0	695017	6	427183	0	392794	679708
52000	78	51	0	0	0	0	0	698500	3	0	0	173441	2	149403	0	694997	8	432824	0	399758	677612
52250	74	16	0	0	0	0	0	700458	1	0	0	148907	0	148084	0	702257	6	431084	0	398566	681600
52500	96	38	0	0	12	0	0	703937	5	0	0	150725	0	150957	0	704373	8	437644	0	398923	684377
52750	87	21	0	0	1	0	19	702827	3	0	0	161132	0	151410	0	700116	18	434707	0	401414	683404
